source,topic_label,text_content,date_published,reference_url
X,Food Inflation,Una dey mad oh who the fvck is giving this fake analysis.,Mar 16,https://x.com/CHILDwitGrace/status/2033625557221425389?s=20
X,Food Inflation,Hopefully this trend continues and reflects in the cost of living,Mar 16,https://x.com/urbanpulseca/status/2033589151522603238?s=20
X,Food Inflation,"prices tripled before the good news from APC dropped, fuel now sale at ₦1230 -1600 in some parts of Nigeria what exactly are you guys imparting in the lives of Average Nigerian,No light, no good health care, housing and feeding which is the commerce of life becomes difficult",Mar 16,https://x.com/David72639163/status/2033621111666036878?s=20
X,Food Inflation,"Which inflation is actually dropping? From where to where since 2023? I bought Titus sardine 450 and now 1700, what's actually dropping?",Mar 16,https://x.com/Zicky001_/status/2033585600784146502?s=20
X,Food Inflation,Keep deceiving yourself. Go to the market and price goods first.,Mar 16,https://x.com/victor_eke79113/status/2033601987447554314?s=20
X,Food Inflation,"From which source nah? Why are you guys lying without verification? Even with this fuel crisis, things are very hard, especially in Nigeria, but you are here helping this propaganda run government to disseminate falsehood.",Mar 16,https://x.com/DeBoss08/status/2033604206733508841?s=20
X,Food Inflation,Liars,Mar 16,https://x.com/akpan7/status/2033588507088724125?s=20
X,Food Inflation,Only on channel news this is happening. Na mumu de watch them.,Mar 16,https://x.com/PhdShaibu/status/2033591727345258542?s=20
X,Fuel Price,"Then who is responsible? Is he not the minister of petroleum? Is he not the president? Is he not the one that removed the fuel subsidy? Or she we blame obi, atiku and kwankwaso for it? U shit ass liking fools will defend clueless this clueless goat🐐 tire ajeh",Apr 19,https://x.com/Mromenka/status/2045809818586276148?s=20
X,Fuel Price,"Who is now responsible, may it is the APC chieftain's Father, Tinubu is responsible for the hunger, killings, suffering, hardship and  poverty in Nigeria, please do not vote APC, say no to poverty, say no to hunger by not voting APC",Apr 19,https://x.com/OkeyMatata4/status/2045853653702005246?s=20
X,Fuel Price,"It's true, it is Hamisu from Panshekara that is responsible for the fuel hike. If you ALLOW APC Nazis lie to you, it is YOUR fault.",Apr 19,https://x.com/pdauda/status/2045815561234366857?s=20
X,Fuel Price,No problem. Very soon APC will hear from Nigerians by their votes.,Apr 19,https://x.com/henry_nnaj41871/status/2045843876670222673?s=20
X,Fuel Price,"Politics Is Not A Do Or Die Affiar, If The People Want You, Theyll Vote You, If They Don't Want You, You Step Aside. You Dont Have To Force Yourself On Us And Corrupt The Electoral Process...",Apr 19,https://x.com/AgwasimKelz/status/2045812801847910817?s=20
X,Fuel Price,He is not responsible for the fuel price hike but he is responsible for ameliorating the impact of the fuel price hike on Nigerians.,Apr 19,https://x.com/AlobeTunde/status/2045808099156504579?s=20
X,Fuel Price,"But he will b responsible for the price drop when it drops,",Apr 19,https://x.com/Dhekunlay/status/2045855643131584708?s=20
X,Fuel Price,So he is telling us now that the fuel hike is not his responsibility,Apr 19,https://x.com/agbagbue75385/status/2045809083375079857?s=20
X,Fuel Price,Who is the Minister of Petroleum?,Apr 19,https://x.com/quidbuddy/status/2045843179912503412?s=20
X,Fuel Price,He should vacate aso rock,Apr 19,https://x.com/Chibeznwankwo/status/2045818765384847649?s=20
X,Fuel Price,"After writing off trillions, this N210tn audit query deadline is just a formality: every Nigerian knows nothing will happen. #NNPCL #NigeriaCorruption #AuditQueries",Apr 15,https://x.com/FacTalkNigeria/status/2044522139957543405?s=20
